No;RAISONSOCIALE;REGION;COMMUNE;CONTACTS;SECTEUR
1;GLORIOUS BUSINESS GROUP | GLBG;ABIDJAN;COCODY;22 00 79 48;BTP / MATERIAUX DE CONSTRUCTION
2;HYPERACCESS SYSTEMS | HAS;ABIDJAN;COCODY;22 49 29 57;INFORMATIQUES
3;OSIRIS DESIGN | OSIRIS DESIGN;ABIDJAN;YOPOUGON;21 76 19 82;BOIS ET ASSIMILES, MOBILIER ET AMEUBLEMENT
4;EBAMCI SARL;ABIDJAN;KOUMASSI;21 28 52 62;MINES ET CARRIERES, CONSTRUCTION ET BATIMENT
5;EMERTEC-BGC | EMERTEC;ABIDJAN;TREICHVILLE;07 41 04 17;BTP / MATERIAUX DE CONSTRUCTION
5;GAMA ETUDE EXECUTION & SERVICES SARL | G2ES;ABIDJAN;YOPOUGON;77 99 00 04;BTP / MATERIAUX DE CONSTRUCTION
6;COTE D'IVOIRE ESCARGOT;ABIDJAN;ANYAMA;21 74 43 46;AGROALIMENTAIRE
7;IVOIRE PRESTIGE PRESTATION | I.P.P;ABIDJAN;YOPOUGON;43 49 51 07;AUTRES ( Prestation de services )
8;BPL PROJECT EXPERTS | BPL;ABIDJAN;COCODY;22 54 40 69;ETUDES ET CONSEILS
9;BEL'IDE PUB | BEL'IDE PUB;ABIDJAN;MARCORY;09 96 20 85;AUDIOVISUEL & COMMUNICATION
10;GOLDEN CONSULTING SARL | GOLDEN CONSULTING;ABIDJAN;COCODY;22 54 67 00;AUTRES ( Conseil, audit ,expertise comptable )
11;SOCIETE AGRO-INDUSTRIELLE ET DE PRODUCTIONS C;ABIDJAN;YOPOUGON;23 52 42 41;CHIMIE / PARACHIMIE
12;ENTREPRISE COMMERCIALE | OLA BUSINESS WORLD;ABIDJAN;YOPOUGON;08 39 92 19;COMMERCE / NEGOCE / DISTRIBUTION
13;LES SEJOURS ONISS | ONISS;ABIDJAN;YOPOUGON;23 00 05 68;AUTRES ( Tourisme et Loisirs )
14;MAQUIS DU VAL | MAQUIS DU VAL;ABIDJAN;COCODY;22 44 04 64;HEBERGEMENT ET RESTAURATION
15;ENTREPRISE DES TRAVAUX EN HAUTEUR ET D’ACCÈS;ABIDJAN;COCODY;22 59 66 66;BTP / MATERIAUX DE CONSTRUCTION
16;OBEH CLEANING SERVICES;PORO;KORHOGO;07 90 51 38;ACTIVITES DE SERVICES, DE SOUTIEN ET DE BUREAU
17;EDAHTECH | EDAHTECH;ABIDJAN;BINGERVILLE;22 01 06 66;SERVICES AUX ENTREPRISES
18;INNOVAXE SARL | INNOVAXE;ABIDJAN;ADJAME;06 56 13 20;BTP / MATERIAUX DE CONSTRUCTION
19;VALERY KOUADIO-CONSEIL | V-K CONSEIL;ABIDJAN;COCODY;22 01 86 07;ETUDES ET CONSEILS
20;QUEEN TOURE ENTREPRISE | QUEEN TOURE ENTREPR;ABIDJAN;COCODY;22 40 00 66;BTP / MATERIAUX DE CONSTRUCTION
21;CISSOKO WASSA | SANSIR;ABIDJAN;COCODY;22 40 00 66;ACTIVITES DE SERVICES, DE SOUTIEN ET DE BUREAU
22;TRAORE SITA | MARKET PARTNERS;ABIDJAN;COCODY;22 40 00 66;AUTRES ( LOCATION ABRIS DIVERSES PRESTATIONS )
23;AGEXAU CONSEILS | AGEXAU CONSEILS;ABIDJAN;COCODY;86 51 75 05;SERVICES AUX ENTREPRISES
24;VEILLE INDUSTRIELLE TECHNOLOGIQUE;ABIDJAN;MARCORY;21 26 27 02;AUTRES ( COMMUNICATION PAR L'OBJET )
25;OCM BUROTEC | OCM BUROTEC;ABIDJAN;ABOBO;07 18 79 42;ACTIVITES DE SERVICES, DE SOUTIEN ET DE BUREAU
26;COCO INTER SA | COCO INTER;ABIDJAN;PLATEAU;20 32 80 77;TRANSPORTS / LOGISTIQUE
27;TRITON WEST AFRICA SARL | Importation et Distribution;ABIDJAN;TREICHVILLE;88 89 64 45;COMMERCE / NEGOCE / DISTRIBUTION
28;Elio Group | EG;ABIDJAN;COCODY;22 00 02 87;BTP / MATERIAUX DE CONSTRUCTION
29;LORD TRADING AND INVESTMENT | LTI;ABIDJAN;COCODY;22 77 95 37;COMMERCE / NEGOCE / DISTRIBUTION
30;SARL | IVOIRE GEOAGRO;ABIDJAN;YOPOUGON;22 50 73 23;AUTRES ( GEOMATIQUE-AGRICULTURE )
31;CENTRE D'IMAGERIE MEDICALE ET DE DIAGNOSTIC | C;ABIDJAN;YOPOUGON;20 01 27 23;AUTRES ( PRESTATIONS DE SERVICES )
32;IDEVERT;ABIDJAN;COCODY;07 06 75 21;AUTRES ( ENTRETETIEN D'ESPACE VERT )
33;LOCAGRI SARL;ABIDJAN;COCODY;24 38 38 90;AGROALIMENTAIRE
34;Nidal Production | Nidal Prod;ABIDJAN;COCODY;47 00 87 12;AUDIOVISUEL & COMMUNICATION
35;ATM INFORMATIQUE | ATM INFORMATIQUE;ABIDJAN;TREICHVILLE;21 24 39 81;AUTRES ( INFORMATIQUE )
36;SYNERGY TRADING | STCI;ABIDJAN;TREICHVILLE;21 25 30 46;COMMERCE / NEGOCE / DISTRIBUTION
37;ENTREPRISE BRAHIMA BAMBA | EBB;ABIDJAN;YOPOUGON;08 30 12 54;BTP / MATERIAUX DE CONSTRUCTION
38;SARL | ABM TRAVEL SARL;ABIDJAN;PORT-BOUET;21 77 20 98;AUTRES ( Agence de voyage et cargo fret aerien et maritime )
39;SuperLingua | SuperLingua;ABIDJAN;COCODY;58 30 52 98;SERVICES AUX ENTREPRISES
